ID Cliente,País,Quantidade,Valor,Lucro
15528.0,United Kingdom,123,22933.0,22810.0
17348.0,United Kingdom,163,20973.0,20810.0
12471.0,Germany,-1,-145.0,-144.0
17045.0,United Kingdom,1,3995.0,3994.0
16416.0,United Kingdom,357,34483.0,34126.0
13816.0,Germany,91,19998.0,19907.0
18225.0,United Kingdom,16,300.0,284.0
13489.0,United Kingdom,64,7728.0,7664.0
15513.0,United Kingdom,10,675.0,665.0
14911.0,EIRE,86,32135.0,32049.0
16558.0,United Kingdom,-5,-925.0,-920.0
,United Kingdom,143,117246.0,117103.0
,United Kingdom,1484,607371.0,605887.0
12659.0,France,105,9168.0,9063.0
17389.0,United Kingdom,96,7200.0,7104.0
18159.0,United Kingdom,139,53015.0,52876.0
,United Kingdom,-17,0.0,17.0
14000.0,United Kingdom,-3,-195.0,-192.0
17988.0,United Kingdom,1,295.0,294.0
15622.0,United Kingdom,222,5760.0,5538.0
12628.0,Germany,-3,-1685.0,-1682.0
,United Kingdom,-7,0.0,7.0
17416.0,United Kingdom,-12,-450.0,-438.0
,United Kingdom,92,43569.0,43477.0
17231.0,United Kingdom,-2,-199.0,-197.0
12950.0,United Kingdom,164,3116.0,2952.0
13719.0,United Kingdom,78,1329.0,1251.0
17404.0,Sweden,1060,123848.0,122788.0
,United Kingdom,526,169138.0,168612.0
17190.0,United Kingdom,160,24974.0,24814.0
12395.0,Belgium,528,3461.0,2933.0
12901.0,United Kingdom,72,14004.0,13932.0
15544.0,United Kingdom,-3,-255.0,-252.0
14211.0,United Kingdom,72,1556.0,1484.0
13094.0,United Kingdom,144,15264.0,15120.0
13138.0,United Kingdom,72,19362.0,19290.0
12921.0,United Kingdom,19,7125.0,7106.0
18178.0,United Kingdom,-2,-75.0,-73.0
16268.0,United Kingdom,465,49376.0,48911.0
14307.0,United Kingdom,323,65623.0,65300.0
15615.0,United Kingdom,364,104864.0,104500.0
,United Kingdom,1,300.0,299.0
17321.0,United Kingdom,5,4125.0,4120.0
15881.0,United Kingdom,154,33929.0,33775.0
13983.0,United Kingdom,72,12888.0,12816.0
14056.0,United Kingdom,-3,-975.0,-972.0
14527.0,United Kingdom,-1,-1215.0,-1214.0
,United Kingdom,144,16156.0,16012.0
14796.0,United Kingdom,467,83595.0,83128.0
13408.0,United Kingdom,-1,-1195.0,-1194.0
15150.0,United Kingdom,108,30442.0,30334.0
14567.0,United Kingdom,172,80076.0,79904.0
17841.0,United Kingdom,-10,-125.0,-115.0
15078.0,United Kingdom,-10,-195.0,-185.0
17526.0,United Kingdom,40,2268.0,2228.0
17920.0,United Kingdom,58,11111.0,11053.0
16774.0,United Kingdom,56,1608.0,1552.0
17841.0,United Kingdom,200,43743.0,43543.0
17870.0,United Kingdom,62,14311.0,14249.0
13767.0,United Kingdom,129,38031.0,37902.0
17315.0,United Kingdom,172,33176.0,33004.0
14606.0,United Kingdom,-28,-2337.0,-2309.0
13924.0,United Kingdom,-19,-6509.0,-6490.0
15932.0,United Kingdom,262,30502.0,30240.0
12839.0,United Kingdom,286,41358.0,41072.0
17461.0,United Kingdom,342,3492.0,3150.0
13171.0,United Kingdom,60,13254.0,13194.0
18139.0,United Kingdom,1644,27864.0,26220.0
12748.0,United Kingdom,256,42041.0,41785.0
13266.0,United Kingdom,-2,-32.0,-30.0
14560.0,United Kingdom,39,15225.0,15186.0
,United Kingdom,8,0.0,-8.0
12483.0,Sweden,-2,-800.0,-798.0
16422.0,United Kingdom,406,58746.0,58340.0
16020.0,United Kingdom,10,165.0,155.0
12748.0,United Kingdom,60,11555.0,11495.0
14533.0,United Kingdom,-1200,-840.0,360.0
16873.0,United Kingdom,-6,-144.0,-138.0
17706.0,United Kingdom,-13,-508.0,-495.0
17422.0,United Kingdom,-15,-5535.0,-5520.0
15777.0,United Kingdom,-3,-255.0,-252.0
17811.0,United Kingdom,-6,-117.0,-111.0
18065.0,United Kingdom,50,1889.0,1839.0
14620.0,United Kingdom,-26,-195.0,-169.0
14665.0,United Kingdom,238,55952.0,55714.0
17567.0,United Kingdom,244,51795.0,51551.0
15079.0,United Kingdom,-1,-195.0,-194.0
,United Kingdom,479,135471.0,134992.0
15841.0,United Kingdom,234,28166.0,27932.0
17841.0,United Kingdom,-4,-50.0,-46.0
12610.0,Italy,168,3095.0,2927.0
13764.0,United Kingdom,282,49989.0,49707.0
16839.0,United Kingdom,320,41696.0,41376.0
13614.0,United Kingdom,67,30215.0,30148.0
13233.0,United Kingdom,404,30424.0,30020.0
16843.0,United Kingdom,938,99388.0,98450.0
13047.0,United Kingdom,-3,-1385.0,-1382.0
12709.0,Germany,-12,-8398.0,-8386.0
14107.0,United Kingdom,268,36324.0,36056.0
17719.0,United Kingdom,109,31219.0,31110.0
16103.0,United Kingdom,92,2708.0,2616.0
14607.0,United Kingdom,-2344,-294928.0,-292584.0
15039.0,United Kingdom,-2,-170.0,-168.0
16407.0,United Kingdom,2,159.0,157.0
13139.0,United Kingdom,268,54092.0,53824.0
14125.0,United Kingdom,486,111108.0,110622.0
17489.0,United Kingdom,232,20856.0,20624.0
13750.0,United Kingdom,85,33063.0,32978.0
14189.0,United Kingdom,224,3141.0,2917.0
12748.0,United Kingdom,5,1425.0,1420.0
13761.0,United Kingdom,418,57894.0,57476.0
15867.0,United Kingdom,36,1330.0,1294.0
13552.0,United Kingdom,216,4639.0,4423.0
12709.0,Germany,110,26868.0,26758.0
16945.0,United Kingdom,24,1008.0,984.0
17490.0,United Kingdom,228,4884.0,4656.0
,United Kingdom,13,3207.0,3194.0
16880.0,United Kingdom,135,26949.0,26814.0
17956.0,United Kingdom,1,1275.0,1274.0
14111.0,United Kingdom,18,483.0,465.0
12901.0,United Kingdom,90,27624.0,27534.0
16607.0,United Kingdom,163,14141.0,13978.0
15021.0,United Kingdom,119,21814.0,21695.0
,United Kingdom,-24,0.0,24.0
13394.0,United Kingdom,463,37173.0,36710.0
14733.0,United Kingdom,133,51169.0,51036.0
,United Kingdom,-6,0.0,6.0
16029.0,United Kingdom,-48,-96.0,-48.0
16600.0,United Kingdom,186,1116.0,930.0
14561.0,United Kingdom,192,34492.0,34300.0
,United Kingdom,1,795.0,794.0
14032.0,United Kingdom,291,30964.0,30673.0
14110.0,United Kingdom,156,37972.0,37816.0
16441.0,United Kingdom,110,2110.0,2000.0
15544.0,United Kingdom,393,56035.0,55642.0
15448.0,United Kingdom,232,49464.0,49232.0
17757.0,United Kingdom,93,1455.0,1362.0
16048.0,United Kingdom,12,504.0,492.0
18211.0,United Kingdom,56,1379.0,1323.0
13591.0,United Kingdom,135,31403.0,31268.0
12753.0,Japan,-33,-8547.0,-8514.0
14236.0,United Kingdom,272,30156.0,29884.0
13933.0,United Kingdom,113,30099.0,29986.0
15061.0,United Kingdom,1135,164958.0,163823.0
15521.0,United Kingdom,-92,-1924.0,-1832.0
,United Kingdom,1,0.0,-1.0
14560.0,United Kingdom,240,1008.0,768.0
13865.0,United Kingdom,54,10082.0,10028.0
12748.0,United Kingdom,-1082,-13010.0,-11928.0
15777.0,United Kingdom,112,2856.0,2744.0
17764.0,United Kingdom,247,55685.0,55438.0
16242.0,United Kingdom,299,5342.0,5043.0
16550.0,United Kingdom,-3,-905.0,-902.0
13389.0,United Kingdom,115,25789.0,25674.0
17735.0,United Kingdom,118,2283.0,2165.0
16655.0,United Kingdom,523,63819.0,63296.0
13037.0,United Kingdom,158,25042.0,24884.0
14882.0,United Kingdom,92,3418.0,3326.0
14911.0,EIRE,711,158875.0,158164.0
,United Kingdom,7,1525.0,1518.0
14606.0,United Kingdom,72,12075.0,12003.0
16943.0,United Kingdom,20,1721.0,1701.0
12709.0,Germany,41,680.0,639.0
,United Kingdom,60,0.0,-60.0
18102.0,United Kingdom,112,55776.0,55664.0
,United Kingdom,1,995.0,994.0
14214.0,United Kingdom,313,63865.0,63552.0
15769.0,United Kingdom,1600,29240.0,27640.0
15641.0,United Kingdom,466,58182.0,57716.0
,United Kingdom,10,0.0,-10.0
14336.0,United Kingdom,301,23003.0,22702.0
16519.0,United Kingdom,24,1037.0,1013.0
15051.0,United Kingdom,124,24568.0,24444.0
15159.0,United Kingdom,54,2073.0,2019.0
16746.0,United Kingdom,162,30018.0,29856.0
,United Kingdom,-3,0.0,3.0
14334.0,United Kingdom,-1,-1275.0,-1274.0
12653.0,Israel,633,143075.0,142442.0
12678.0,France,1,1500.0,1499.0
14849.0,United Kingdom,377,42234.0,41857.0
,United Kingdom,-60,0.0,60.0
14911.0,EIRE,332,63729.0,63397.0
13491.0,United Kingdom,18,975.0,957.0
18102.0,United Kingdom,306,8664.0,8358.0
12868.0,United Kingdom,112,2033.0,1921.0
16265.0,United Kingdom,182,4323.0,4141.0
13458.0,United Kingdom,130,30078.0,29948.0
16092.0,United Kingdom,-24,-300.0,-276.0
12757.0,Portugal,311,60283.0,59972.0
17389.0,United Kingdom,72,735.0,663.0
15065.0,United Kingdom,202,29938.0,29736.0
13151.0,United Kingdom,-2,-75.0,-73.0
17549.0,United Kingdom,150,12066.0,11916.0
16523.0,United Kingdom,198,6768.0,6570.0
14507.0,United Kingdom,50,3949.0,3899.0
17179.0,United Kingdom,82,22348.0,22266.0
15950.0,United Kingdom,123,25584.0,25461.0
13447.0,United Kingdom,166,4303.0,4137.0
17838.0,United Kingdom,-458,-4666.0,-4208.0
16705.0,United Kingdom,48,960.0,912.0
16308.0,United Kingdom,1000,3200.0,2200.0
13004.0,United Kingdom,-4,-158.0,-154.0
18075.0,United Kingdom,-4,-1828.0,-1824.0
17001.0,United Kingdom,172,3576.0,3404.0
13515.0,United Kingdom,127,13216.0,13089.0
17573.0,United Kingdom,-6,-177.0,-171.0
15036.0,United Kingdom,176,21986.0,21810.0
,United Kingdom,26,325.0,299.0
17685.0,United Kingdom,207,3924.0,3717.0
13632.0,United Kingdom,288,45214.0,44926.0
,United Kingdom,364,176085.0,175721.0
,United Kingdom,310,134077.0,133767.0
18008.0,United Kingdom,355,13081.0,12726.0
15251.0,United Kingdom,244,36388.0,36144.0
,United Kingdom,-41,0.0,41.0
16293.0,United Kingdom,189,37875.0,37686.0
17236.0,United Kingdom,141,19933.0,19792.0
,United Kingdom,-43,0.0,43.0
17744.0,United Kingdom,-36,-3132.0,-3096.0
12471.0,Germany,519,107212.0,106693.0
16794.0,United Kingdom,263,22213.0,21950.0
17504.0,United Kingdom,233,44115.0,43882.0
17463.0,United Kingdom,126,19831.0,19705.0
