Order_ID,Units_Sold,MRP,Discount_Applied,Revenue,Profit,Region_Delhi,Region_Hyd,Region_Hyderabad,Region_Kolkata,Region_Mumbai,Region_Pune,Region_bengaluru,Region_hyderbad,Product_Line_Lifestyle,Product_Line_Running,Product_Line_Soccer,Product_Line_Training,Gender_Category_Men,Gender_Category_Women,Sales_Channel_Retail,Profit_Margin
2000,,,0.47,0.0,-770.45,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,-inf
2001,3.0,4957.93,,0.0,-112.53,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,-inf
2002,4.0,,,0.0,3337.34,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,inf
2003,,9673.57,,0.0,3376.85,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,inf
2004,,,,0.0,187.89,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,inf
2005,1.0,7363.96,,0.0,1415.98,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,inf
2006,,6819.78,,0.0,1802.09,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,inf
2007,1.0,,0.32,0.0,2928.36,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,inf
2008,-1.0,,,0.0,-731.18,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,-inf
2009,4.0,,,0.0,3929.61,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,inf
2010,1.0,7949.83,,0.0,1965.56,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,inf
2011,-1.0,9586.08,,0.0,1667.08,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,inf
2018,-1.0,,0.86,0.0,2109.48,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,inf
2013,,9671.05,,0.0,299.34,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,inf
2014,,,,0.0,-1044.4,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,-inf
2015,,3285.52,,0.0,1193.21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,inf
2016,1.0,9871.75,0.3,6910.22,2452.69,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,35.493660115018045
2017,4.0,,,0.0,1946.24,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,inf
2018,0.0,,1.17,0.0,-966.89,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,-inf
2019,0.0,3424.06,0.32,0.0,1915.24,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,inf
2020,-1.0,,0.67,0.0,439.96,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,inf
2021,-1.0,7086.7,0.66,2409.48,-1120.49,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,-46.50339492338596
2022,,,,0.0,3427.16,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,inf
2023,,5003.95,,0.0,1498.37,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,inf
2024,0.0,,0.5,0.0,1842.35,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,inf
2025,3.0,9820.5,,0.0,1900.15,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,inf
2026,1.0,,0.16,0.0,2301.64,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,inf
2027,,,0.22,0.0,-138.74,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-inf
2028,,3270.23,,0.0,-946.86,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,-inf
2029,0.0,,,0.0,-185.67,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,-inf
2030,,,1.05,0.0,-122.93,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,-inf
2031,4.0,3493.04,0.82,2514.99,350.7,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,13.94438944091229
2032,1.0,,1.07,0.0,-555.16,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,-inf
2033,-1.0,,,0.0,-1005.71,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,-inf
2034,,6235.71,,0.0,-267.37,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-inf
2035,4.0,,0.38,0.0,2914.83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,inf
2036,3.0,,,0.0,-143.8,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,-inf
2037,3.0,5653.14,1.01,169.59,2776.96,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,1637.4550386225603
2038,0.0,,0.83,0.0,1163.21,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,inf
2039,,2767.7,0.63,0.0,-336.3,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,-inf
2002,3.0,5075.22,,0.0,145.08,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,inf
2041,,5553.88,,0.0,2371.66,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,inf
2042,,,,0.0,-862.16,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-inf
2043,,3492.89,0.77,0.0,3770.75,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,inf
2044,,,,0.0,2174.71,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,inf
2045,4.0,,,0.0,1833.94,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,inf
2046,,,1.04,0.0,1284.33,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,inf
2047,1.0,8577.75,,0.0,2888.68,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,inf
2048,,,,0.0,2875.86,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,inf
2049,1.0,7767.2,,0.0,311.48,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,inf
2050,1.0,,0.57,0.0,682.12,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,inf
2051,,,0.37,0.0,3135.98,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,inf
2052,3.0,9155.96,,0.0,2184.8,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,inf
2053,3.0,6009.58,,0.0,3384.92,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,inf
2054,-1.0,,,0.0,-549.76,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,-inf
2055,,,,0.0,-1078.76,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,-inf
2056,3.0,,,0.0,-244.44,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,-inf
2048,3.0,6216.29,0.94,1118.93,-642.02,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,-57.37803079727954
2058,,4985.92,,0.0,361.54,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,inf
